iter	Passed	Remaining
571	5395	4037
572	5406	4029
573	5416	4019
574	5425	4009
575	5434	4000
576	5443	3990
577	5453	3981
578	5462	3972
579	5471	3962
580	5480	3952
581	5488	3942
582	5497	3932
583	5506	3922
584	5515	3912
585	5527	3904
586	5535	3894
587	5545	3885
588	5554	3875
589	5562	3865
590	5572	3856
591	5581	3846
592	5590	3836
593	5599	3827
594	5609	3817
595	5618	3808
596	5628	3799
597	5637	3789
598	5646	3779
599	5654	3769
600	5663	3760
601	5672	3750
602	5682	3741
603	5691	3731
604	5701	3722
605	5710	3712
606	5719	3703
607	5729	3693
608	5738	3684
609	5747	3674
610	5756	3665
611	5766	3656
612	5775	3646
613	5784	3636
614	5793	3626
615	5803	3617
616	5814	3609
617	5825	3601
618	5835	3591
619	5845	3582
620	5854	3573
621	5863	3563
622	5872	3553
623	5881	3543
624	5890	3534
625	5900	3524
626	5909	3515
627	5918	3505
628	5926	3495
629	5936	3486
630	5945	3476
631	5954	3466
632	5963	3457
633	5972	3447
634	5983	3439
635	5992	3429
636	6002	3420
637	6010	3410
638	6019	3400
639	6029	3391
640	6038	3382
641	6047	3372
642	6056	3362
643	6065	3353
644	6074	3343
645	6082	3333
646	6091	3323
647	6099	3313
648	6109	3304
649	6119	3294
650	6128	3285
651	6137	3275
652	6146	3266
653	6155	3256
654	6165	3247
655	6173	3237
656	6183	3228
657	6192	3218
658	6202	3209
659	6211	3199
660	6220	3190
661	6231	3181
662	6239	3171
663	6249	3162
664	6257	3152
665	6265	3142
666	6275	3132
667	6283	3123
668	6292	3113
669	6301	3103
670	6310	3094
671	6319	3084
672	6328	3074
673	6336	3065
674	6346	3055
675	6355	3045
676	6364	3036
677	6373	3027
678	6382	3017
679	6392	3008
680	6400	2998
681	6410	2989
682	6419	2979
683	6428	2969
684	6436	2960
685	6447	2951
686	6456	2941
687	6466	2932
688	6475	2923
689	6484	2913
690	6493	2903
691	6502	2893
692	6511	2884
693	6520	2875
694	6529	2865
695	6538	2855
696	6547	2846
697	6557	2837
698	6565	2827
699	6574	2817
700	6583	2808
701	6592	2798
702	6602	2789
703	6611	2779
704	6620	2770
705	6629	2760
706	6638	2751
707	6647	2741
708	6657	2732
709	6665	2722
710	6674	2713
711	6684	2703
712	6693	2694
713	6702	2684
714	6711	2675
715	6720	2665
716	6729	2656
717	6738	2646
718	6747	2637
719	6756	2627
